x	y	lat	lon
702	803	46.81	0.28
743	804	46.80	0.77
784	803	46.80	1.25
826	801	46.81	1.76
868	799	46.82	2.26
909	799	46.80	2.74
950	796	46.81	3.23
991	795	46.80	3.72
1034	793	46.79	4.23
1076	791	46.78	4.73
1117	787	46.78	5.22
1157	783	46.79	5.70
1199	781	46.77	6.20
1241	776	46.77	6.71
1282	772	46.76	7.20
1324	768	46.75	7.70
1365	765	46.73	8.18
1406	760	46.72	8.68
1448	754	46.72	9.18
1488	749	46.71	9.66
1530	744	46.69	10.16
1571	739	46.67	10.65
1612	733	46.66	11.14
36	836	46.19	-7.56
76	840	46.20	-7.08
118	844	46.21	-6.59
161	846	46.23	-6.09
201	849	46.24	-5.62
243	852	46.24	-5.12
286	854	46.26	-4.62
328	856	46.27	-4.12
369	858	46.27	-3.64
410	860	46.27	-3.16
453	861	46.28	-2.65
495	861	46.30	-2.16
537	863	46.29	-1.67
576	863	46.30	-1.21
620	864	46.30	-0.69
661	864	46.30	-0.21
702	863	46.31	0.27
746	863	46.31	0.79
786	862	46.31	1.26
828	861	46.31	1.76
870	860	46.30	2.25
912	858	46.31	2.74
953	856	46.31	3.23
995	855	46.29	3.72
1038	853	46.29	4.23
1080	849	46.29	4.72
1120	847	46.28	5.19
1162	844	46.27	5.69
1205	840	46.27	6.20
1247	836	46.26	6.69
1288	832	46.26	7.17
1329	829	46.24	7.66
1371	825	46.23	8.15
1413	819	46.23	8.65
1455	814	46.21	9.15
1497	809	46.20	9.64
1538	804	46.18	10.13
1579	798	46.17	10.61
1621	792	46.16	11.11
30	896	45.69	-7.53
71	901	45.69	-7.05
114	903	45.71	-6.56
155	908	45.71	-6.08
198	910	45.73	-5.58
241	912	45.74	-5.08
282	915	45.75	-4.60
324	916	45.76	-4.12
366	918	45.77	-3.63
408	920	45.77	-3.14
452	921	45.78	-2.63
494	923	45.78	-2.14
535	923	45.79	-1.67
578	924	45.79	-1.17
619	924	45.80	-0.69
661	925	45.79	-0.20
703	924	45.80	0.28
746	924	45.80	0.78
788	922	45.81	1.27
831	920	45.82	1.77
872	920	45.80	2.25
915	918	45.80	2.75
957	917	45.80	3.23
1000	916	45.78	3.73
1042	913	45.78	4.22
1085	912	45.76	4.72
1126	904	45.80	5.20
1168	904	45.77	5.69
1210	901	45.76	6.17
1251	897	45.76	6.65
1293	893	45.75	7.14
1336	888	45.74	7.64
1377	883	45.74	8.12
1420	880	45.71	8.62
1462	875	45.70	9.11
1504	869	45.70	9.60
1545	864	45.68	10.08
1587	859	45.66	10.57
1629	852	45.65	11.06
66	960	45.20	-7.02
110	964	45.21	-6.52
151	967	45.22	-6.05
194	971	45.22	-5.55
236	973	45.23	-5.07
279	975	45.25	-4.58
321	978	45.25	-4.10
364	979	45.26	-3.61
407	980	45.28	-3.11
449	982	45.28	-2.63
491	982	45.29	-2.15
534	983	45.29	-1.66
577	984	45.29	-1.17
620	984	45.30	-0.67
662	985	45.29	-0.19
704	984	45.30	0.29
746	983	45.31	0.77
790	984	45.29	1.28
830	982	45.30	1.74
875	981	45.30	2.25
918	978	45.31	2.75
960	977	45.30	3.23
1002	975	45.29	3.71
1045	972	45.29	4.20
1087	969	45.29	4.69
1130	967	45.28	5.18
1172	964	45.27	5.66
1215	960	45.27	6.16
1256	958	45.25	6.63
1301	953	45.24	7.14
1342	948	45.24	7.62
1385	944	45.23	8.11
1426	939	45.22	8.58
1469	934	45.21	9.08
1512	929	45.19	9.58
1554	924	45.18	10.06
1596	918	45.17	10.54
1639	912	45.15	11.04
62	1021	44.69	-6.98
104	1024	44.71	-6.51
147	1028	44.71	-6.02
190	1030	44.73	-5.53
233	1033	44.74	-5.05
275	1034	44.76	-4.57
318	1037	44.76	-4.08
362	1039	44.77	-3.59
405	1041	44.77	-3.10
448	1043	44.77	-2.61
490	1044	44.78	-2.14
534	1043	44.80	-1.64
577	1044	44.80	-1.15
619	1045	44.79	-0.68
663	1044	44.80	-0.18
705	1045	44.80	0.30
748	1044	44.80	0.79
791	1044	44.79	1.27
834	1042	44.80	1.76
877	1040	44.81	2.25
919	1039	44.80	2.72
963	1038	44.79	3.22
1006	1035	44.79	3.71
1048	1034	44.78	4.18
1090	1030	44.79	4.66
1133	1027	44.78	5.15
1177	1025	44.76	5.65
1220	1020	44.77	6.14
1262	1017	44.76	6.61
1305	1013	44.75	7.10
1348	1009	44.74	7.59
1390	1004	44.73	8.07
1433	999	44.72	8.56
1476	995	44.70	9.05
1518	989	44.70	9.53
1562	984	44.68	10.03
1605	978	44.66	10.52
1647	972	44.65	10.99
57	1081	44.20	-6.95
99	1085	44.20	-6.48
144	1088	44.22	-5.98
186	1090	44.23	-5.51
229	1093	44.24	-5.03
272	1095	44.25	-4.55
316	1097	44.26	-4.06
360	1099	44.27	-3.56
403	1101	44.27	-3.08
445	1102	44.28	-2.61
489	1103	44.29	-2.12
533	1104	44.29	-1.63
576	1104	44.30	-1.15
617	1104	44.31	-0.69
661	1105	44.30	-0.20
705	1104	44.31	0.30
747	1103	44.31	0.77
793	1103	44.31	1.28
836	1102	44.31	1.76
879	1102	44.29	2.24
922	1099	44.30	2.72
966	1097	44.30	3.22
1009	1096	44.29	3.70
1052	1093	44.29	4.18
1094	1090	44.29	4.65
1139	1087	44.28	5.16
1181	1084	44.28	5.63
1224	1081	44.27	6.11
1268	1077	44.26	6.60
1310	1073	44.25	7.07
1354	1070	44.23	7.57
1398	1065	44.22	8.06
1440	1059	44.22	8.53
1484	1054	44.21	9.03
1527	1050	44.19	9.51
1570	1044	44.18	9.99
1613	1038	44.16	10.48
1656	1032	44.15	10.96
51	1140	43.71	-6.94
96	1145	43.71	-6.44
138	1148	43.72	-5.98
182	1150	43.74	-5.49
225	1153	43.75	-5.01
269	1155	43.76	-4.53
314	1157	43.77	-4.03
357	1159	43.78	-3.56
401	1162	43.77	-3.07
445	1162	43.79	-2.58
488	1163	43.80	-2.11
531	1164	43.80	-1.63
575	1165	43.80	-1.15
618	1165	43.80	-0.67
663	1165	43.81	-0.17
707	1165	43.81	0.31
749	1164	43.81	0.78
795	1164	43.81	1.29
837	1162	43.81	1.75
880	1161	43.81	2.23
926	1160	43.80	2.74
967	1157	43.81	3.19
1011	1155	43.80	3.68
1055	1154	43.79	4.16
1098	1150	43.79	4.64
1142	1149	43.77	5.13
1185	1144	43.78	5.60
1230	1142	43.76	6.10
1273	1138	43.76	6.58
1315	1134	43.75	7.04
1361	1129	43.74	7.55
1404	1124	43.74	8.03
1447	1119	43.73	8.51
1490	1114	43.72	8.99
1534	1109	43.70	9.48
1577	1103	43.69	9.95
1621	1098	43.67	10.44
1665	1091	43.66	10.93
46	1201	43.21	-6.91
90	1205	43.22	-6.43
134	1207	43.24	-5.95
178	1210	43.25	-5.47
223	1213	43.26	-4.98
266	1215	43.27	-4.51
311	1216	43.29	-4.02
354	1219	43.28	-3.55
398	1221	43.29	-3.07
442	1222	43.30	-2.59
487	1222	43.31	-2.09
531	1222	43.32	-1.61
575	1224	43.32	-1.13
618	1225	43.31	-0.66
662	1225	43.32	-0.18
706	1225	43.31	0.30
751	1225	43.31	0.79
796	1224	43.31	1.28
839	1222	43.32	1.75
883	1222	43.31	2.23
927	1219	43.32	2.71
971	1218	43.31	3.20
1015	1216	43.30	3.68
1059	1213	43.30	4.16
1103	1210	43.30	4.64
1146	1207	43.30	5.11
1191	1204	43.29	5.60
1234	1200	43.28	6.07
1279	1197	43.27	6.57
1321	1193	43.26	7.03
1367	1189	43.25	7.53
1409	1184	43.24	7.99
1454	1180	43.22	8.48
1498	1174	43.22	8.97
1541	1169	43.21	9.44
1586	1163	43.19	9.93
1630	1158	43.17	10.42
1673	1151	43.16	10.89
41	1260	42.72	-6.89
86	1264	42.73	-6.40
129	1267	42.75	-5.94
175	1270	42.76	-5.44
219	1273	42.76	-4.96
263	1275	42.78	-4.49
308	1275	42.80	-4.00
352	1278	42.80	-3.53
396	1281	42.80	-3.05
440	1282	42.81	-2.58
